"","comicName","comicSummary","comicGrade"
"416","삼십오미리(35mm)","자신의 시선을 찾아가는 이호경과 사진 동아리 ‘삼십오미리’ 이야기","9.85"
"417","여전히 일상","평범하지만 늘 다른","9.88"
"418","동거의 법칙","반세기세대차이룸메이트","9.88"
"419","양치기 소년","일요일 연재","9.78"
"420","좋은 꿈 꾸세요","스트레스 처치로맨스","9.92"
"421","콜맨","병맛흥신소","9.32"
"422","태양","new 클래식 웹툰","9.63"
"423","부고","부고訃告죽음 그 이면","9.85"
"424","다이아몬드 갓 수","액션/어드벤처","9.68"
"425","유치원 신드롬","공포의 유치원","9.60"
"426","러보얌♥","러보얌+행복한크리미","9.76"
"427","저승 화랑 이야기","이승과 같은 저승","9.91"
"428","메멘토모리","죽음을 기억하라!","9.92"
"429","크라이시스","이능력 판타지","9.79"
"430","히어로전우치","한국형 히어로!!","9.61"
"431","14년 만에 핀 해바라기","K-POP","9.72"
"432","그라티아","엑소시스트 판타지","9.55"
"433","이름을 빌려드립니다","我的名字","9.76"
"434","지나치게 달콤한","알바생과 아이돌의 지나치게 달콤한 이야기","9.89"
"435","브리즈","고교야구 성장스토리","8.87"
"436","쩜오라이프","1.5평 생활기","9.87"
"437","이상적인 관계","심쿵! 캠퍼스로맨스","9.89"
"438","아재소녀","시즌2 !!","9.72"
"439","나의 스위치메이트","여자가 된 남자","9.90"
"440","남자들이 나를 좋아해","내인생의 모든인연","9.72"
"441","아무래도 좋은","아무래도 좋은이야기","9.88"
"442","개천사","어느 날 화가 났다..","9.90"
"443","가라사대","기독교타파?개그만화","9.65"
"444","꿀벌과 아카시아","달콤녀 꿀벌남 찾기","9.77"
"445","샤카!","주짓수 성장 만화","9.04"
"446","레퀴에스","이세계식당 개그물","9.24"
"447","강한사랑","대학교 개그 로맨스","9.88"
"448","나라 구한 전생","나라를 구했습니다.","9.90"
"449","보통의 외톨이","다다 DADA","9.89"
"450","종이비행기를 날리면","첫사랑을 다시 만나러","9.83"
"451","극세사탐구생활","일상탐구개그만화","9.85"
"452","사랑비","누구나 하나쯤은 간직하고 있는 러브스토리에 관하여","9.14"
"453","짝사랑 기승전결","평범한 짝사랑이야기","9.80"
"454","스피너즈",".","9.58"
"455","GO!라니","(연재중지)","9.88"
"456","봉황의 원","철없는 주작 성장기","9.54"
"457","쿨내나는 연애","쏘쿨한 로맨스 웹툰","9.85"
"458","바리이야기","판타지","9.88"
"459","필","필의 이야기.","9.86"
"460","(구)신의 태궁",".","9.86"
"461","익숙한 땅콩들","소소한 청춘","9.84"
"462","색깔전쟁","색이 사라진 세상","9.83"
"463","디센트","동양판타지 학원물","9.70"
"464","마야","첩보 스릴러","9.69"
"465","빅맨","208cm거인의농구","5.72"
"466","우리! 지구를 떠나자!","지구미남 납치작전","9.68"
"467","덕후커플보고서","덕후 커플의 일상","9.88"
"468","엘리자벳 데일리","매일매일, 아슬아슬 with 엘리자베스","9.81"
"469","절교여행","절교여행 버라이어티","9.82"
"470","박하의 효능","비밀을 알아버렸다","9.67"
"471","일상난담","수욜 일욜 연재","9.27"
"472","투하프데빌","악마들의 코믹한 이야기","9.54"
"473","두세기","두세기 사이의 진실","9.75"
"474","성형술사","만지면 변한다!!","9.82"
"475","마루누리","고구려 왕자의 성장기","9.88"
"476","보라 (Look At Me)","학원 잔혹극","9.24"
"477","사물놀이 -부서진 악기-","한국형 판타지스릴러","9.91"
"478","지구와 사람과 동물","지구와 사람과 동물","9.88"
"479","용사님을 사랑한 힐러님","잔잔한 판타지","9.88"
"480","검은인간","변해가는 몸","9.90"
"481","모자장수 아가씨","모자장수 아가씨","9.75"
"482","산타공무원","강동구씨의 이야기","9.91"
"483","퍼머넌트옐로우","27살, 동화는없다","9.32"
"484","컬러커플:extra","컬러커플 외전!","9.83"
"485","제임스 널 저주해 그리고 사랑해","감성로맨스스릴러","9.66"
"486","신의 계약서","이세계 신의 이야기","9.63"
"487","날마다 끄적끄적","고요히 산다는 것","9.88"
"488","Tilly the spiky hands","뾰족뾰족 포크가족","9.88"
"489","공상과학스포대전","스포츠만화의 이단아","9.36"
"490","청부업자와 소년의 이야기","청부업자와 소년의 잔잔하고 슬픈 이야기","9.88"
"491","보람특기고등학교",".","9.88"
"492","미친 꽃은 답도 없다","자유연재","9.83"
"493","저주라는이름의축복","← 키안 (♂)","9.86"
"494","어쩌다 보니 용사가","용사가 허접 쩌리?","9.62"
"495","최강의 악마","될 수 있을까?","9.88"
"496","옴니버스 열애설","연시뮬을 만화로!","9.85"
"497","슬로우템포","본격 심령 로맨스","9.75"
"498","죽는날까지","가장 나쁜 영웅","9.89"
"499","현악 4중주 - 콰르텟","어떤악기의 레이져포","9.56"
"500","허니버니",".","9.90"
"501","방과후 베이스볼 클럽","드라마틱 베이스볼","9.69"
"502","디바이스","게임 폐인이 게임을 통해 성장하는 이야기","9.84"
"503","메리고라운드","개그 육아 일상","9.90"
"504","어쩌다 간호사","간호사 공감툰.","9.76"
"505","호가비","소녀와 호가비","9.85"
"506","라서드","모험 액션 판타지","9.77"
"507","사분의일","잇걸과패션테러리스트","9.87"
