"","comicName","comicSummary","comicGrade"
"1951","선선한 이야기","프리랜선선","9.68"
"1952","일상견문록","다른나라 일상이야기","9.85"
"1953","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1954","카나와 초나의 독일","독일 유학 생존기","9.89"
"1955","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1956","다 이아리","데이트폭력에 관하여","9.84"
"1957","식인귀","괴물이 보인다","9.77"
"1958","저승파견고용직","기묘한 만화","9.92"
"1959","검은 늑대","검은 늑대","9.87"
"1960","제목이 7080 만화","7080 이야기","9.90"
"1961","하루와 모레","일상 이야기 :)","9.68"
"1962","올어바웃 You","봉카의 외노자인생","9.87"
"1963","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1964","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1965","외국 in 한국","영국인의한국생활","9.87"
"1966","중딩툰","중딩이 그리는 웹툰","9.46"
"1967","파리스의 선택","그리스 신화 회귀물","9.93"
"1968","아옹아옹","두식이 냥육일기","9.92"
"1969","A - STUDENT(모범생)","사악한 본성","9.83"
"1970","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1971","홈 스윗 홈","네식구 사는 이야기","9.85"
"1972","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1973","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1974","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1975","선선한 이야기","프리랜선선","9.68"
"1976","일상견문록","다른나라 일상이야기","9.85"
"1977","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1978","카나와 초나의 독일","독일 유학 생존기","9.89"
"1979","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1980","다 이아리","데이트폭력에 관하여","9.84"
"1981","식인귀","괴물이 보인다","9.77"
"1982","저승파견고용직","기묘한 만화","9.92"
"1983","검은 늑대","검은 늑대","9.87"
"1984","제목이 7080 만화","7080 이야기","9.90"
"1985","하루와 모레","일상 이야기 :)","9.68"
"1986","올어바웃 You","봉카의 외노자인생","9.87"
"1987","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1988","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1989","외국 in 한국","영국인의한국생활","9.87"
"1990","중딩툰","중딩이 그리는 웹툰","9.46"
"1991","파리스의 선택","그리스 신화 회귀물","9.93"
"1992","아옹아옹","두식이 냥육일기","9.92"
"1993","A - STUDENT(모범생)","사악한 본성","9.83"
"1994","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1995","홈 스윗 홈","네식구 사는 이야기","9.85"
"1996","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1997","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1998","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1999","선선한 이야기","프리랜선선","9.68"
"2000","일상견문록","다른나라 일상이야기","9.85"
"2001","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"2002","카나와 초나의 독일","독일 유학 생존기","9.89"
"2003","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"2004","다 이아리","데이트폭력에 관하여","9.84"
"2005","식인귀","괴물이 보인다","9.77"
"2006","저승파견고용직","기묘한 만화","9.92"
"2007","검은 늑대","검은 늑대","9.87"
"2008","제목이 7080 만화","7080 이야기","9.90"
"2009","하루와 모레","일상 이야기 :)","9.68"
"2010","올어바웃 You","봉카의 외노자인생","9.87"
"2011","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"2012","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"2013","외국 in 한국","영국인의한국생활","9.87"
"2014","중딩툰","중딩이 그리는 웹툰","9.46"
"2015","파리스의 선택","그리스 신화 회귀물","9.93"
"2016","아옹아옹","두식이 냥육일기","9.92"
"2017","A - STUDENT(모범생)","사악한 본성","9.83"
"2018","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"2019","홈 스윗 홈","네식구 사는 이야기","9.85"
