"","title","review"
"137","죄 많은 소녀","이런영화가 천만이상 가야죠 극한직업이 1600만인데ㅋ엑시트 재난영화중에 최고아닐까요 울고웃고 재밌었어요 배우들 연기도 잘하고요ㅜㅜ"
"138","라이온 킹",""
"139","82년생 김지영","제작비에 홍보 마케팅비용 비율이 제일 컸을듯..ㅠㅠ"
"140","82년생 김지영","배우들의 연기도 좋고 매번 재난영화는 폭탄테러나 화제였는데  생화학테러라는 설정도 신선했는데 물로씻겨져나다는게 어이없었음 그많은 빌딩에 연기나는데 스프링쿨러만 터져도 저런 상황이 안생기는거 아닌가 ... 그리고 그 씻겨져간 화학가스가 물은 안 오염시키가  테러 이유도 단순한 회사해고에대한 앙심 이런 개연성이 조금 아쉬웠네요"
"141","82년생 김지영","누구를 미워하는게 아니다  이런영화가 천만 가까이...조작이 아니라면 우리나라 수준 정말 급 실망..ㅋㅋ"
"142","람보 : 라스트 워","신파랑 감동을 구분 못하는 찌질이들이 평점 테러해서 그렇지 좋은 영화임"
"143","사자",""
"144","쥬라기 월드: 폴른 킹덤",""
"145","스윗 프랑세즈","막판에  신파  삼류삘이  있어  그렇지  어벤져스 엔드게임보다  스릴있더라윤아  궁댕이가  좀더  나왓음  하지만감독이  양심이  있더라"
"146","남과 여","재미나게 잘 봤어요드론나오는 장면에 감동~기계지만 사람이 만든 기계"
"147","죄 많은 소녀","유치에 신파에 재미도 없고.... 우리나라 영화산업이 퇴보하는 것 같다."
"148","라이온 킹",""
"149","82년생 김지영",""
"150","82년생 김지영","예상했던거 보다 재밌었어요신선한 느낌의 재난영화였어요"
"151","82년생 김지영","재미있었어요!!^^"
"152","람보 : 라스트 워","최고"
"153","사자","기억나는게 따따따 따따 따 따따따 밖에..영화내용주인공은백수다어떤 인간이 회사잘렸다고 유독가스퍼트렸다 그로인해 맡자마자 바로 화상에 호흡곤란까지 생기는사람이 대량으로 발생한다살려고 벽타고 옥상올라가서 구조를 기다린다(목숨걸고 벽타고올라왔는데 가족들은 구경잼하다가 옥상가는거 성공했는데 오히려 미쳤냐고만 반복한다 칭찬따위없다...) 구조왔는데 인간들이 돼지라서 주인공과 여주인지 뭔지인간만 남는데 어째저째 벽타고 가다가 구조가 또오는데 학원있는애들살려준다(얘네도 고맙다는말따위도없어 ㅋ) 그러다가 다른건물 또 벽타고 옥상가려는거 드론한테 포착된다 그래서 구경하려고 여러 드론이온다 그리고 다른드론이 줄타는거 도와주는데 죽을뻔했다(뭐주인공버프로안죽음 게다가 12세라서ㅋ) 그러다가 방송보고 방송빨로 구조오는데 구조오고 병원도착한다 고백그딴거없이 떡밥남기고 튄다. -끝-"
"154","쥬라기 월드: 폴른 킹덤","보는내내 내 머리부터 발끝까지 찬공기가 솔솔 부는듯 했다. 끝에 남주 여주 둘이 확실한 러브라인이 없어서 밋밋했다. 영화보고 분명히 건물 외벽 타는 실험충들이 생길것 같다."
"155","스윗 프랑세즈","짠내 폭발 청년백수, 전대미문의 진짜 재난을 만나다!"
"156","남과 여","이런 영화가 상영관 장악하고 흥행을 하니 한국영화가 발전이 없는 거야"
"157","죄 많은 소녀",""
"158","라이온 킹","재밌게 잘바써요"
"159","82년생 김지영","재밌게봤어요"
"160","82년생 김지영","초반에 잠깐 웃겼다 망할 신파"
"161","82년생 김지영","배우분들 연기력하고 전체적으로 아주 자알 봤습니다저런망할xx그런거 신경쓰지마시고 앞으로쭈욱가십셩 참예쁩니다 ."
"162","람보 : 라스트 워",""
"163","사자","따따 따따따 따따 따따따 전체적으로 아동영화같음 맨날 뛰어만 다녀서 노잽"
"164","쥬라기 월드: 폴른 킹덤","본질에 비해 홍보가 잘되고 배우 덕 본 영화.극한집업 처럼ㅎ그러나 그다지 ..."
"165","스윗 프랑세즈","웃은 적  없음"
"166","남과 여","처음에 주인공이 100水라서 취업성공기 영화인것 처럼 보였으나... 포스터처럼 신선도 100% 재난영화! 재밌게 봤어요"
"167","죄 많은 소녀","외유내강식 액션단순한 상황 설정과 캐릭터 성격만 부여하고그까이꺼 대충리암니슨도 울고 갈 논스톱 모험극짝패 재난 버전"
"168","라이온 킹",""
"169","82년생 김지영","좀 엉성한 내용이지만 그냥 저냥 그럭저럭 볼만한영화"
"170","82년생 김지영","조정석 하나만 보고 기대 안하고 봤는데 너무 재밌네요. 조정석 컨벤션홀  옥상 올라가는 씬..고소공포증 있는 난 보는것만으로도 소름이..너무 신선하고 둘다  연기도 잘하고.."
"171","82년생 김지영",""
"172","람보 : 라스트 워","관대한 맘으로 가볍게 본다면 그럭저럭..윤아 욕하는거 귀엽.."
"173","사자","코미디 스럽지 않고 나름 평타는 되어 보입니다. 근다 연기가 그만큼 나는데 건물에 스프링쿨러가 왜 하나도 작동을 안했을까?? ㅎㅎ"
"174","쥬라기 월드: 폴른 킹덤","재미만 있구만~~~ 배우들 스텝들 다 흥해라~~!!!"
"175","스윗 프랑세즈","왜? 이런 영화를 만들까?"
"176","남과 여",""
"177","죄 많은 소녀","18"
"178","라이온 킹","기대이하..너무 재미없네요"
"179","82년생 김지영","웃기지 않는 코미디, 모든 상황에 어울리지 않는 여주, 조금 더 정교했으면 하는 아쉬운 등반씬들. 그러나 꽤 긴장감이 있어서 볼만했다"
"180","82년생 김지영","그냥저냥 보고 있다가 윰댕대도 나오는거 보고 확 깨짐"
"181","82년생 김지영","이게? 이게 9백만?....대한민국에 시간이 남아돌고 만원 걍 길에 뿌리는 국민들이 9백만이라...세계최고 부자나라냐?"
"182","람보 : 라스트 워","참나 이런.4류 영화.."
"183","사자","잼있게 잘봤습니다 기대이상입니다"
"184","쥬라기 월드: 폴른 킹덤","조마조마"
"185","스윗 프랑세즈","가볍고 재미있게 볼 수 있는 재난 코미디 영화"
"186","남과 여",""
"187","죄 많은 소녀","우리 예쁜 윤아한테 왜이리 처절하고 절박한 끔찍한 생존 위기에 처한 무서운 역활을 맡겼어!!!! ㅠ.ㅠ 저렇게 엄청나고 무시무시한 재난 현장에서 탈출하기 위해 이리 뛰고저리뛰는 연기를 저렇게 훌륭하고 소화해내는 윤아를 보고 정말 가슴이 찡하더라!!!"
"188","라이온 킹","윤아야 너무너무 사랑해!!!!!"
"189","82년생 김지영","와우 타워 이후로 진짜 오랜만에 숨죽이며 손에 땀을 쥐며 본 재난 스릴러 영화였다. 이런 명작의 영화를 우리 윤아가 주연으로 출연해서 큰 호평을 받고 거기다 엄청난 흥행 대박까지 터뜨리다니 정말 너무너무 대견하고 자랑스럽고 뿌뜻하구나!!!!!"
"190","82년생 김지영",""
"191","82년생 김지영","이런 걸 영화라고...."
"192","람보 : 라스트 워",""
"193","사자","의외의 수작..타짜3 먼저보고 이거보면 세기의 명작 소리도 할수있슴.."
"194","쥬라기 월드: 폴른 킹덤","재밌게봤어요~ㅋㅋㅋ우는 모습 넘 귀엽"
"195","스윗 프랑세즈","위기탈출 넘버원이 그리워지는 순간"
"196","남과 여","이런게 영화라고 ?"
"197","죄 많은 소녀","난 재밌게 봤는데 평점이 왜 이럼?"
"198","라이온 킹","스토리 전개가 너무 어설프다"
"199","82년생 김지영","드라마를 극장에서 본 기분?...."
"200","82년생 김지영","BJ들 나오는 순간 아~뭐야 몰입도 떨어지게 했다.ㅡㅡ 막장 BJ는 왜 나오게 참 어이가 없어서 발연기 진짜 소오름 감독이 무슨 정신으로"
